district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Fatih , Akşemsettin Mah.,11,19980.0,207.1987826987827
 Arnavutköy , Yunus Emre Mah.,1,14500.0,207.14285714285714
 Çekmeköy , Mehmet Akif Mah.,17,20430.0,206.14458343400497
 Beyoğlu , Piri Paşa Mah.,4,17841.25,205.85423116615067
 Zeytinburnu , Sümer Mah.,26,22559.23076923077,205.0487686475631
 Ümraniye , Atakent Mah.,4,26941.25,205.0020396270396
 Sarıyer , Kocataş Mah.,4,20000.0,203.47222222222223
 Kağıthane , Ortabayır Mah.,74,18907.027027027027,202.89706894326713
 Esenler , Birlik Mah.,5,18400.0,202.6143790849673
 Kartal , Soğanlık Yeni Mah.,9,21721.11111111111,201.6653056335074
 Arnavutköy , Atatürk Mah.,4,19000.0,201.28596893302776
 Esenler , Yavuz Selim Mah.,2,16250.0,201.2237762237762
 Beykoz , Kavacık Mah.,90,25940.12222222222,200.68301625756757
 Başakşehir , Bahçeşehir 2. Kısım Mah.,38,30474.21052631579,200.60593274688998
 Sancaktepe , Meclis Mah.,7,19639.285714285714,200.26124062985517
 Beykoz , Baklacı Mah.,3,150000.0,200.0
 Beykoz , Dereseki Mah.,1,13000.0,200.0
 Küçükçekmece , Atakent Mah.,67,19098.880597014926,199.75237287818226
 Tuzla , Yayla Mah.,9,20505.0,199.17966126063953
 Kartal , Çavuşoğlu Mah.,3,28105.0,199.01030668677728
 Pendik , Doğu Mah.,6,21416.666666666668,198.879472693032
 Bakırköy , Cevizlik Mah.,10,16783.0,198.64070692379516
 Çekmeköy , Çatalmeşe Mah.,8,27093.75,198.27074411619785
 Küçükçekmece , Halkalı Merkez Mah.,21,23687.571428571428,198.0388082203956
 Ataşehir , Ferhatpaşa Mah.,3,26666.666666666668,197.90764790764788
 Üsküdar , Cumhuriyet Mah.,22,20000.454545454544,197.83184545570265
 Bayrampaşa , Yıldırım Mah.,3,27410.0,196.7008547008547
 Tuzla , Mimar Sinan Mah.,14,18348.214285714286,196.34541496343354
 Ümraniye , Armağanevler Mah.,15,19268.666666666668,196.06120013457476
 Pendik , Fatih Mah.,5,19400.0,195.6818181818182
 Beşiktaş , Abbasağa Mah.,22,18083.636363636364,195.34451262005015
 Bağcılar , 15 Temmuz Mah.,28,19402.5,194.96201310612193
 Güngören , Gençosman Mah.,17,20817.352941176472,194.08921211007987
 Şişli , Yayla Mah.,20,15425.25,193.44519704804196
 Bakırköy , Zeytinlik Mah.,4,25000.0,193.13672438672438
 Kadıköy , Merdivenköy Mah.,28,20791.964285714286,192.92349009760193
 Arnavutköy , Deliklikaya Mah.,2,17250.0,192.41486068111453
 Sarıyer , Cumhuriyet Mah.,26,25570.576923076922,192.25091968194363
 Bayrampaşa , Cevatpaşa Mah.,10,18895.0,191.09970447509147
 Sultangazi , Uğur Mumcu Mah.,1,21000.0,190.9090909090909
 Sancaktepe , Abdurrahmangazi Mah.,20,19959.75,190.43913672888593
